tweet_id,text,text_clean,text_for_labeling,text_for_labeling_clean,created_at,username,like_count,retweet_count,reply_count,source_type,conversation_id,in_reply_to_id,root_tweet_id,root_text
1793986223461306630,"Program Makan Siang Gratis yang diusung Probowo-Gibran berubah nama jadi Makan Bergizi Gratis, Tons! Ini loh alasannya!
https://t.co/nd3axhUF69
#MakanSiangGratis #MakanBergiziGratis #PrabowoGibran https://t.co/Uz6icmhUIb",program makan siang gratis diusung probowo gibran berubah nama makan bergizi gratis tons alasannya,"Program Makan Siang Gratis yang diusung Probowo-Gibran berubah nama jadi Makan Bergizi Gratis, Tons! Ini loh alasannya!
https://t.co/nd3axhUF69
#MakanSiangGratis #MakanBergiziGratis #PrabowoGibran https://t.co/Uz6icmhUIb",program makan siang gratis diusung probowo gibran berubah nama makan bergizi gratis tons alasannya,Fri May 24 12:43:40 +0000 2024,detikbali__,1,0,1,search,1793986223461306630,,1793986223461306630,"Program Makan Siang Gratis yang diusung Probowo-Gibran berubah nama jadi Makan Bergizi Gratis, Tons! Ini loh alasannya!
https://t.co/nd3axhUF69
#MakanSiangGratis #MakanBergiziGratis #PrabowoGibran https://t.co/Uz6icmhUIb"
1793943711736582149,"Jubir @prabowo, Dahnil Anzar mengatakan presiden terpilih #PrabowoSubianto mengubah nama program makan siang gratis menjadi #makanbergizigratis. Selain itu Prabowo juga ingin meringankan biaya Uang Kuliah Tunggal (#UKT) perguruan tinggi di Indonesia.
#uktmahal #makansianggratis https://t.co/s67kz1RIFK",jubir dahnil anzar presiden terpilih mengubah nama program makan siang gratis prabowo meringankan biaya uang kuliah tunggal perguruan indonesia,"Jubir @prabowo, Dahnil Anzar mengatakan presiden terpilih #PrabowoSubianto mengubah nama program makan siang gratis menjadi #makanbergizigratis. Selain itu Prabowo juga ingin meringankan biaya Uang Kuliah Tunggal (#UKT) perguruan tinggi di Indonesia.
#uktmahal #makansianggratis https://t.co/s67kz1RIFK",jubir dahnil anzar presiden terpilih mengubah nama program makan siang gratis prabowo meringankan biaya uang kuliah tunggal perguruan indonesia,Fri May 24 09:54:45 +0000 2024,Metro_TV,3,0,1,search,1793943711736582149,,1793943711736582149,"Jubir @prabowo, Dahnil Anzar mengatakan presiden terpilih #PrabowoSubianto mengubah nama program makan siang gratis menjadi #makanbergizigratis. Selain itu Prabowo juga ingin meringankan biaya Uang Kuliah Tunggal (#UKT) perguruan tinggi di Indonesia.
#uktmahal #makansianggratis https://t.co/s67kz1RIFK"
1793942730374094954,"Makan Siang Gratis dikoreksi jadi Makan Bergizi Gratis?⁣
⁣
Ternyata setelah dipelajari, Prabowo menganggap istilah makan bergizi gratis lebih tepat.

&gt;&gt; https://t.co/pqRedwQCbj
⁣
#detikcom #PrabowoSubianto #MakanBergiziGratis #MakanSiangGratis https://t.co/57OVLw1KU4",makan siang gratis dikoreksi makan bergizi gratis dipelajari prabowo menganggap istilah makan bergizi gratis gt gt,"Makan Siang Gratis dikoreksi jadi Makan Bergizi Gratis?⁣
⁣
Ternyata setelah dipelajari, Prabowo menganggap istilah makan bergizi gratis lebih tepat.

&gt;&gt; https://t.co/pqRedwQCbj
⁣
#detikcom #PrabowoSubianto #MakanBergiziGratis #MakanSiangGratis https://t.co/57OVLw1KU4",makan siang gratis dikoreksi makan bergizi gratis dipelajari prabowo menganggap istilah makan bergizi gratis gt gt,Fri May 24 09:50:51 +0000 2024,detikcom,4,2,2,search,1793942730374094954,,1793942730374094954,"Makan Siang Gratis dikoreksi jadi Makan Bergizi Gratis?⁣
⁣
Ternyata setelah dipelajari, Prabowo menganggap istilah makan bergizi gratis lebih tepat.

&gt;&gt; https://t.co/pqRedwQCbj
⁣
#detikcom #PrabowoSubianto #MakanBergiziGratis #MakanSiangGratis https://t.co/57OVLw1KU4"
1793858813159993788,"Pak Prabowo Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis,  Ini Alasannya 🤔

#PrabowoSubianto 
#MakanBergiziGratis 

Selamat Hari Raya Waisak 
PrabowoFokus SiapkanygTerbaik

https://t.co/EPkSKbhQ56 #Jumatberkah https://t.co/nPZkYtVzXG",prabowo ganti makan siang gratis makan bergizi gratis alasannya selamat raya waisak prabowofokus siapkanygterbaik,"Pak Prabowo Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis,  Ini Alasannya 🤔

#PrabowoSubianto 
#MakanBergiziGratis 

Selamat Hari Raya Waisak 
PrabowoFokus SiapkanygTerbaik

https://t.co/EPkSKbhQ56 #Jumatberkah https://t.co/nPZkYtVzXG",prabowo ganti makan siang gratis makan bergizi gratis alasannya selamat raya waisak prabowofokus siapkanygterbaik,Fri May 24 04:17:23 +0000 2024,yossrsro,5,2,1,search,1793858813159993788,,1793858813159993788,"Pak Prabowo Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis,  Ini Alasannya 🤔

#PrabowoSubianto 
#MakanBergiziGratis 

Selamat Hari Raya Waisak 
PrabowoFokus SiapkanygTerbaik

https://t.co/EPkSKbhQ56 #Jumatberkah https://t.co/nPZkYtVzXG"
1793846875910795349,Prabowo Ganti Nama Program Makan Siang Gratis Jadi Makan Bergizi Gratis untuk Anak-anak | #PrabowoSubianto #ProgramMakanSiangGratis #MakanBergiziGratis https://t.co/yZPf6wqadw,prabowo ganti nama program makan siang gratis makan bergizi gratis anak anak,Prabowo Ganti Nama Program Makan Siang Gratis Jadi Makan Bergizi Gratis untuk Anak-anak | #PrabowoSubianto #ProgramMakanSiangGratis #MakanBergiziGratis https://t.co/yZPf6wqadw,prabowo ganti nama program makan siang gratis makan bergizi gratis anak anak,Fri May 24 03:29:57 +0000 2024,kompascom,1,2,0,search,1793846875910795349,,1793846875910795349,Prabowo Ganti Nama Program Makan Siang Gratis Jadi Makan Bergizi Gratis untuk Anak-anak | #PrabowoSubianto #ProgramMakanSiangGratis #MakanBergiziGratis https://t.co/yZPf6wqadw
1793824584577520107,"Prabowo Koreksi Istilah ""Makan Siang Gratis"": Yang Tepat, Makan Bergizi Gratis untuk Anak-anak

#PrabowoSubianto 
#MakanBergiziGratis 

Selamat Hari Raya Waisak
PrabowoFokus SiapkanygTerbaik

https://t.co/Dsraz1mX6d #JumatBerkah https://t.co/XHZBqEdIuy",prabowo koreksi istilah makan siang gratis makan bergizi gratis anak anak selamat raya waisak prabowofokus siapkanygterbaik,"Prabowo Koreksi Istilah ""Makan Siang Gratis"": Yang Tepat, Makan Bergizi Gratis untuk Anak-anak

#PrabowoSubianto 
#MakanBergiziGratis 

Selamat Hari Raya Waisak
PrabowoFokus SiapkanygTerbaik

https://t.co/Dsraz1mX6d #JumatBerkah https://t.co/XHZBqEdIuy",prabowo koreksi istilah makan siang gratis makan bergizi gratis anak anak selamat raya waisak prabowofokus siapkanygterbaik,Fri May 24 02:01:23 +0000 2024,yossrsro,7,2,3,search,1793824584577520107,,1793824584577520107,"Prabowo Koreksi Istilah ""Makan Siang Gratis"": Yang Tepat, Makan Bergizi Gratis untuk Anak-anak

#PrabowoSubianto 
#MakanBergiziGratis 

Selamat Hari Raya Waisak
PrabowoFokus SiapkanygTerbaik

https://t.co/Dsraz1mX6d #JumatBerkah https://t.co/XHZBqEdIuy"
1789951274219098228,"Terpilih Program Makan Bergizi Gratis, Pemkot Siap Bagikan 2.500 Porsi Per Hari

https://t.co/NQ0UHcoUX4

FSR menyiapkan 2.500 porsi makanan bergizi gratis bagi siswa di enam sekolah di Kecamatan Arcamanik Kota Bandung selama 90 hari.

#ProgramMakanGratis #Bandung https://t.co/Wv6IzJwa65",terpilih program makan bergizi gratis pemkot bagikan 500 porsi fsr 500 porsi makanan bergizi gratis siswa enam sekolah kecamatan arcamanik kota bandung 90,"Terpilih Program Makan Bergizi Gratis, Pemkot Siap Bagikan 2.500 Porsi Per Hari

https://t.co/NQ0UHcoUX4

FSR menyiapkan 2.500 porsi makanan bergizi gratis bagi siswa di enam sekolah di Kecamatan Arcamanik Kota Bandung selama 90 hari.

#ProgramMakanGratis #Bandung https://t.co/Wv6IzJwa65",terpilih program makan bergizi gratis pemkot bagikan 500 porsi fsr 500 porsi makanan bergizi gratis siswa enam sekolah kecamatan arcamanik kota bandung 90,Mon May 13 09:30:14 +0000 2024,sokoguruid,0,0,0,search,1789951274219098228,,1789951274219098228,"Terpilih Program Makan Bergizi Gratis, Pemkot Siap Bagikan 2.500 Porsi Per Hari

https://t.co/NQ0UHcoUX4

FSR menyiapkan 2.500 porsi makanan bergizi gratis bagi siswa di enam sekolah di Kecamatan Arcamanik Kota Bandung selama 90 hari.

#ProgramMakanGratis #Bandung https://t.co/Wv6IzJwa65"
1764441985044316431,"Tanggapan Mahfud MD Soal Simulasi Program Makan Siang Gratis

Source: YouTube/Mahfud MD Official
Date: 2 Maret 2024

#mahfudmd #makangratis #programmakangratis https://t.co/6yUgw3C4KS",tanggapan mahfud md simulasi program makan siang gratis source youtube mahfud md official date maret 2024,"Tanggapan Mahfud MD Soal Simulasi Program Makan Siang Gratis

Source: YouTube/Mahfud MD Official
Date: 2 Maret 2024

#mahfudmd #makangratis #programmakangratis https://t.co/6yUgw3C4KS",tanggapan mahfud md simulasi program makan siang gratis source youtube mahfud md official date maret 2024,Mon Mar 04 00:05:25 +0000 2024,Olenka_News,0,0,0,search,1764441985044316431,,1764441985044316431,"Tanggapan Mahfud MD Soal Simulasi Program Makan Siang Gratis

Source: YouTube/Mahfud MD Official
Date: 2 Maret 2024

#mahfudmd #makangratis #programmakangratis https://t.co/6yUgw3C4KS"
1764153792897876129,"WFP mengestimasikan, dari setiap 100.000 anak yang menerima program makan gratis, setidaknya ada 1.377 lapangan kerja yang tercipta.

https://t.co/M0OF2geXmy

#ProgramMakanGratis #LapanganPekerjaan #TenagaKerja #Sekolah #Databoks #Katadata #KalauBicaraPakaiData https://t.co/fJXrR7ySD6",wfp mengestimasikan 100 000 anak menerima program makan gratis 377 lapangan kerja tercipta,"WFP mengestimasikan, dari setiap 100.000 anak yang menerima program makan gratis, setidaknya ada 1.377 lapangan kerja yang tercipta.

https://t.co/M0OF2geXmy

#ProgramMakanGratis #LapanganPekerjaan #TenagaKerja #Sekolah #Databoks #Katadata #KalauBicaraPakaiData https://t.co/fJXrR7ySD6",wfp mengestimasikan 100 000 anak menerima program makan gratis 377 lapangan kerja tercipta,Sun Mar 03 05:00:15 +0000 2024,databoksid,3,1,0,search,1764153792897876129,,1764153792897876129,"WFP mengestimasikan, dari setiap 100.000 anak yang menerima program makan gratis, setidaknya ada 1.377 lapangan kerja yang tercipta.

https://t.co/M0OF2geXmy

#ProgramMakanGratis #LapanganPekerjaan #TenagaKerja #Sekolah #Databoks #Katadata #KalauBicaraPakaiData https://t.co/fJXrR7ySD6"
1763704601356976428,"Menko perekonomian Airlangga Hartarto memantau langsung simulasi makan gratis

#airlanggahartarto #makangratis #programmakangratis #prabowogibran https://t.co/2FDW6lhs8h",menko perekonomian airlangga hartarto memantau langsung simulasi makan gratis,"Menko perekonomian Airlangga Hartarto memantau langsung simulasi makan gratis

#airlanggahartarto #makangratis #programmakangratis #prabowogibran https://t.co/2FDW6lhs8h",menko perekonomian airlangga hartarto memantau langsung simulasi makan gratis,Fri Mar 01 23:15:19 +0000 2024,talkaboutthis__,0,0,0,search,1763704601356976428,,1763704601356976428,"Menko perekonomian Airlangga Hartarto memantau langsung simulasi makan gratis

#airlanggahartarto #makangratis #programmakangratis #prabowogibran https://t.co/2FDW6lhs8h"
